year,weeknum,province,new_case,total_case,new_case_excludeabroad,total_case_excludeabroad,new_recovered,total_recovered,new_death,total_death,case_foreign,case_prison,case_walkin,case_new_prev,case_new_diff,death_new_prev,death_new_diff
2022,4,บุรีรัมย์,687,3169,687,3164,0,0,1,7,,,,,,,
2022,4,ปทุมธานี,1677,4955,1674,4944,0,0,7,8,,,,,,,
2022,4,ประจวบคีรีขันธ์,457,1882,452,1788,0,0,1,3,,,,,,,
2022,4,ปราจีนบุรี,382,1335,381,1333,0,0,3,7,,,,,,,
2022,4,ปัตตานี,91,501,91,499,0,0,1,9,,,,,,,
2022,4,พระนครศรีอยุธยา,649,2033,649,2033,0,0,1,3,,,,,,,
2022,4,พะเยา,71,747,71,747,0,0,0,0,,,,,,,
2022,4,พังงา,598,2010,576,1845,0,0,0,2,,,,,,,
2022,4,พัทลุง,742,2220,742,2220,0,0,4,8,,,,,,,
2022,4,พิจิตร,191,465,191,465,0,0,0,0,,,,,,,
2022,4,พิษณุโลก,372,1692,372,1692,0,0,1,12,,,,,,,
2022,4,ภูเก็ต,3483,13243,2555,9721,0,0,2,7,,,,,,,
2022,4,มหาสารคาม,515,2025,515,2018,0,0,1,1,,,,,,,
2022,4,มุกดาหาร,115,782,115,782,0,0,0,0,,,,,,,
2022,4,ยะลา,125,464,124,463,0,0,2,10,,,,,,,
2022,4,ยโสธร,179,782,178,780,0,0,0,0,,,,,,,
2022,4,ร้อยเอ็ด,578,1931,578,1927,0,0,0,4,,,,,,,
2022,4,ระนอง,97,362,97,356,0,0,2,2,,,,,,,
2022,4,ระยอง,730,3540,729,3517,0,0,2,6,,,,,,,
2022,4,ราชบุรี,915,1954,915,1953,0,0,0,7,,,,,,,
2022,4,ลพบุรี,890,2278,888,2275,0,0,0,4,,,,,,,
2022,4,ลำปาง,102,920,102,919,0,0,2,6,,,,,,,
2022,4,ลำพูน,87,342,87,341,0,0,0,0,,,,,,,
2022,4,ศรีสะเกษ,942,2886,941,2881,0,0,2,7,,,,,,,
2022,4,สกลนคร,165,1082,165,1080,0,0,1,1,,,,,,,
2022,4,สงขลา,424,2010,424,2005,0,0,3,16,,,,,,,
2022,4,สตูล,85,447,85,436,0,0,1,15,,,,,,,
2022,4,สมุทรปราการ,4696,16290,4666,16044,0,0,5,10,,,,,,,
2022,4,สมุทรสงคราม,75,323,75,323,0,0,0,0,,,,,,,
2022,4,สมุทรสาคร,911,3054,911,3053,0,0,1,2,,,,,,,
2022,4,สระบุรี,630,1879,628,1876,0,0,1,5,,,,,,,
2022,4,สระแก้ว,372,1256,352,1222,0,0,2,4,,,,,,,
2022,4,สิงห์บุรี,84,254,84,253,0,0,1,2,,,,,,,
2022,4,สุพรรณบุรี,309,1044,309,1039,0,0,3,6,,,,,,,
2022,4,สุราษฎร์ธานี,701,3142,672,2829,0,0,2,7,,,,,,,
2022,4,สุรินทร์,684,2186,684,2169,0,0,0,0,,,,,,,
2022,4,สุโขทัย,190,495,190,493,0,0,0,1,,,,,,,
2022,4,หนองคาย,661,1736,661,1735,0,0,2,2,,,,,,,
2022,4,หนองบัวลำภู,248,767,248,767,0,0,1,1,,,,,,,
2022,4,อ่างทอง,114,368,114,368,0,0,1,2,,,,,,,
2022,4,อำนาจเจริญ,84,453,84,451,0,0,0,0,,,,,,,
2022,4,อุดรธานี,743,3255,743,3243,0,0,2,7,,,,,,,
